926 COLEMAN ST ,,22901,AVAILABLE,4950,
1009 SMITH ST ,,22901,AVAILABLE,3234,
1011 SMITH ST ,,22901,AVAILABLE,3285,
1925 BLUE RIDGE RD ,,22903,NOT AVAILABLE,1453,
108 ELKHORN RD ,,22903,AVAILABLE,11062,
704 SHAMROCK RD ,,22903,AVAILABLE,11225,
1609 TRAILRIDGE RD ,,22903,AVAILABLE,11231,
2729 JEFFERSON PARK AVE ,,22903,AVAILABLE,13274,
2406 JEFFERSON PARK AVE ,,22903,NOT AVAILABLE,0.198,
2312 FONTAINE AVE ,,22903,NOT AVAILABLE,9023,
3 GILDERSLEEVE WOOD ,,22903,AVAILABLE,7136,
1341 FRANCIS FIFE WAY ,,22903,NOT AVAILABLE,15066,
1614 TRAILRIDGE RD ,,22903,AVAILABLE,11492,
105 VILLAGE CT ,,22903,AVAILABLE,11551,
715 VILLAGE RD ,,22903,AVAILABLE,11555,
113 BIRDWOOD CT ,,22903,NOT AVAILABLE,3229,
1615 EMMET ST N ,,22901,NOT AVAILABLE,892,
511 1ST ST N ,207,22902,UNKNOWN STATE,5593,
109 PIEDMONT AVE N ,B,22903,NOT AVAILABLE,8634,
336 10TH ST NW ,A,22903,NOT AVAILABLE,,
1136 EMMET ST N ,A,22903,NOT AVAILABLE,,
530 1ST ST N ,,22902,AVAILABLE,5554,
1133 EMMET ST N ,,22903,NOT AVAILABLE,,
770 HARRIS ST ,102,22903,AVAILABLE,5072,
1800 JEFFERSON PARK AVE ,26,22903,UNKNOWN STATE,8222,
208 CREAM ST ,,22903,NOT AVAILABLE,6431,
1613 CENTER AVE ,,22903,AVAILABLE,9396,
1613 JAMESTOWN DR ,,22901,AVAILABLE,499,
101 TRIPPER CT ,,22903,NOT AVAILABLE,3509,
111 VALLEY RD ,B,22903,NOT AVAILABLE,7234,
1136 E MARKET ST ,,22902,NOT AVAILABLE,8605,
111 STRIBLING AVE ,,22903,AVAILABLE,9606,
724 NALLE ST ,,22903,AVAILABLE,7454,
104 HARTMANS MILL RD ,,22902,NOT AVAILABLE,,
1035 LOCUST AVE ,,22901,AVAILABLE,3181,
215 SPRUCE ST ,,22902,NOT AVAILABLE,14143,
118 OAKHURST CIR ,1,22903,AVAILABLE,6693,
937 MONTICELLO AVE ,,22902,NOT AVAILABLE,11124,
2331 GLENN CT ,,22901,NOT AVAILABLE,31,
303 PALATINE AVE ,,22902,AVAILABLE,0.358,
1600 6TH ST SE ,22,22902,NOT AVAILABLE,K,
